"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"id129577",2.45361480900419,-0.112612611418966,0.948890260876849,-0.118678224513447,0.905530288926171,NA
"id129578",1.82486947856934,1.0458278487299,0.913291977470049,1.14511883880442,0.252159932647678,NA
"id129579",3.91394299502005,0.673217414709725,0.593962866879762,1.13343350611513,0.257032250081455,NA
"id129580",0.741808352125106,-0.117839168247154,1.42527086815241,-0.0826784373975948,0.934107230624188,NA
"id129581",3.094809072065,1.59511877533183,0.764476379247615,2.086550766816,0.036928761633826,NA
"id129582",4.70913608853311,-1.38312726339745,0.677119768160115,-2.04266265502144,0.041085844095839,NA
"id129583",588.121453204553,-0.209427740433189,0.223634696535773,-0.936472486950111,0.349029971789836,0.625345366123456
"id129584",0.140933522133087,0.0682389631966335,3.0414330302705,0.0224364510141999,0.982099803958703,NA
"id129585",1.73890723183768,0.997782497583529,0.91951730128372,1.08511552331919,0.277870492816945,NA
"id129586",2.19621637963434,-0.545383140115997,0.88771018424551,-0.614370714446105,0.538970383380623,NA
"id129587",2.70954962412372,0.62602263490026,0.77445293465244,0.808341742782869,0.418893878759107,NA
"id129588",1.45842344389957,-0.5118691543556,1.24014255288771,-0.412750254528157,0.679789601265414,NA
"id129589",6.25902589124381,-0.0664227715401648,0.568297563584419,-0.116880268008219,0.90695493481564,NA
"id129590",1.43898548583732,0.424153499541535,0.85636246901204,0.49529669373632,0.620390704422383,NA
"id129591",1.85424310506772,0.118058848020547,1.04476071950402,0.113000848726964,0.910029882338069,NA
"id129592",0.299734549732251,0.0682447383689622,2.1567799378721,0.0316419571466773,0.9747575831639,NA
"id129593",0.402341627164241,-0.013043569554366,1.71190058904055,-0.00761934988390673,0.993920697186139,NA
"id129594",4.31111206926582,1.3147486091593,0.693367978341261,1.89617728281101,0.0579366060524896,NA
"id129595",1.37211259741896,1.74706509664305,1.09248245371974,1.5991699369583,0.109782848282897,NA
"id129596",6.79736840436846,-0.0527839538616583,0.541453211984634,-0.0974857156506374,0.922340677457145,NA
"id129598",4.90405577722668,0.594115442019535,0.516328168698747,1.15065471542416,0.249874313481341,NA
"id129599",2.05228639029832,0.753507025615584,0.881466671475661,0.854833256887796,0.3926434641488,NA
"id129600",0.983982805513095,2.0140715278992,1.37664566233073,1.46302827445756,0.143459642348841,NA
"id129601",8.19480041565059,0.435873657792507,0.507902358617222,0.858183960750221,0.390790891199597,NA
"id129602",10.3750085353654,0.0473971308530715,0.487077692176731,0.0973091800637709,0.922480865964217,0.972786419365429
"id129603",5.25477034872488,0.939175168864754,0.711155742258761,1.32063219497007,0.186624032530434,NA
"id129604",3.89728623743577,0.552611718157678,0.581332861091762,0.950594324084578,0.341810351038434,NA
"id129605",21.2404070252008,0.753025438611286,0.391461999682868,1.92362333820736,0.0544018135338566,0.194939831829653
"id129606",11.9550175314481,0.688698252742788,0.40638728003346,1.69468456957138,0.0901352743841911,0.270405823152573
"id129607",10.454075386227,-0.099083649276662,0.460131156745533,-0.215337839709599,0.82950392973477,0.94161831329737
"id129608",2.77997445606049,-0.409892444530649,0.700904234812214,-0.584805204723106,0.558678704311827,NA
"id129609",147.460726320941,0.498373051893436,0.233713074938592,2.13241408091688,0.0329728208400597,0.132921684011491
"id129610",0.650135676202138,2.71263410523206,1.79421565236945,1.51187740539982,0.130565053001716,NA
"id129611",20.1825009563879,0.107350306312047,0.506432989754186,0.211973367619974,0.832127811751165,0.94161831329737
"id129612",20.054604130234,0.310310133157138,0.444042947709792,0.698829099206737,0.484658840789397,0.706605026937995
"id129613",0.782467351029748,-1.48951651055299,1.39487564547759,-1.06784896229441,0.285588647871027,NA
"id129614",4.73948236721348,0.105246572288539,0.625026789006856,0.168387298176086,0.866278600016883,NA
"id129615",20.1998764172112,0.043535196707948,0.402155532980516,0.108254625729735,0.913793714443512,0.972786419365429
"id129616",7.07104726349479,-0.566198387557578,0.55302145633703,-1.02382716089865,0.305916919064781,NA
"id129617",29.7721598765202,-0.639605092916829,0.390905625789009,-1.6362135787272,0.101794895533162,0.273573781745373
"id129618",48.6064100371937,-0.0155273162345043,0.261728879730832,-0.0593259568851287,0.952692486916837,0.983178646498175
"id129619",16.6436281972628,0.462524159328753,0.282195512992505,1.63902024672177,0.101209043113292,0.273573781745373
"id129620",19.0733417839624,0.28742647654995,0.25099256174034,1.14515934080669,0.252143157671019,0.500407189839406
"id129621",32.5620070191053,0.222134942605925,0.286387169041046,0.775645582690499,0.437958278451486,0.691441619731423
"id129622",26.9764666075259,-0.138416928980015,0.374546174380668,-0.369559051587951,0.711711066370921,0.898616498937405
"id129623",773.747685124331,-0.668148856062172,0.166439581830096,-4.01436274181599,5.96066180264628e-05,0.000961156715676712
"id129624",16.6249512851927,0.159094705242989,0.422841941261095,0.376251004733592,0.706730300131989,0.898616498937405
"id129627",2.3390223638833,-1.88080204897154,1.00439797414356,-1.87256654970384,0.0611282640728416,NA
"id129628",0.264565939964548,-1.73542689742766,2.79919911251913,-0.619972652058278,0.535275792098159,NA
"id129630",2.3884053605717,-1.23942444805311,0.777777943088147,-1.59354538023025,0.111037896437849,NA
"id129631",0.230846787712252,-0.252355040687848,2.91944952788241,-0.0864392544819539,0.93111724312507,NA
"id129632",0.225126783677152,1.31190361884586,3.03168951864427,0.432730202343586,0.665210785534569,NA
"id129634",0.773653020460827,-0.063701309159738,1.70636428601998,-0.0373316001053436,0.970220609806235,NA
"id129635",0.247032771379197,-0.913640324521809,2.52396069951538,-0.361986747534237,0.717361933787119,NA
"id129636",0.372694040562995,-0.63638543023659,2.5992747104527,-0.244831924720167,0.80658657368993,NA
"id129637",116.947755281516,-1.02490245276025,0.221650611561509,-4.62395499628855,3.76491583869052e-06,6.93820204558681e-05
"id129638",6.37450033938992,0.568740288592346,0.457923650668732,1.24199806618807,0.214237275544265,NA
"id129639",5.63980724207835,-0.0777502903314328,0.620560355066816,-0.125290456756718,0.900293607055845,NA
"id129640",651.603810438863,0.00251614191469728,0.162362180497857,0.0154970936395529,0.987635603155073,0.987635603155073
"id129642",4.00640743110056,-0.164282012786526,0.772867139513124,-0.212561777293335,0.83166878738172,NA
"id129643",6.47138230579424,-0.405722079101791,0.578662651989852,-0.701137489531476,0.483217216177378,NA
"id129644",1.63637041363863,-0.729912653496867,1.15133758134053,-0.633969276540956,0.526100872869696,NA
"id129645",1.8369076550452,1.24668456819115,1.09469019286708,1.13884693250607,0.254767002773189,NA
"id129646",3.48135271830048,-1.09457297780511,0.65835550469058,-1.66258650532519,0.096395234213075,NA
"id129647",1.59317328185544,2.0146693479572,1.27015341056555,1.58616221568082,0.112702516514255,NA
"id129648",4.99976867306932,0.0601979234791727,0.577835593871406,0.104178288976379,0.917027863095423,NA
"id129649",4.19464660641435,0.126013000184749,0.681516751737995,0.184900811114903,0.853306834783751,NA
"id129650",3.84562842091163,0.137364321699342,0.627982791909742,0.218738990094947,0.826853374675688,NA
"id129651",1.1618834225896,0.328680604280456,1.23203495290331,0.266778636032943,0.789639604263866,NA
"id129652",61.2887651603882,-0.585260066468477,0.34999634259722,-1.67218909239289,0.0944870406817657,0.273573781745373
"id129653",1.8295895145419,1.46701270653139,0.903132068402593,1.62436121787388,0.104298738970731,NA
"id129654",9.53487055675875,0.978942962464286,0.415091923839108,2.35837631676912,0.0183550752300143,0.0876964705434018
"id129655",14.7399060786129,-0.0463725634847358,0.412247666457031,-0.112487146096603,0.910437160986029,0.972786419365429
"id129656",14.6232966125572,0.454895843154323,0.411298871537495,1.10599827676127,0.268727265245205,0.517400256964648
"id129657",4.406725996063,0.332303988095092,0.678548440815346,0.489727730706734,0.624326576172973,NA
"id129658",27.7358018058424,-0.481492258456464,0.332787171197292,-1.44684741519382,0.147939663562222,0.346985756355031
